descricao,categoria
Manutenção da moto,Transporte
Recarga de cartão de transporte público,Transporte
Viagem compartilhada de carro,Transporte
Seguro para viagem internacional,Transporte
Combustível para moto,Transporte
Compra de óleo lubrificante,Transporte
Manutenção de bicicleta,Transporte
Compra de acessórios para carro,Transporte
Passe de ônibus semanal,Transporte
Lavagem de moto,Transporte
Compra de GPS para veículo,Transporte
Pagamento de estacionamento diário,Transporte
Viagem curta de avião,Transporte
Instalação de som automotivo,Transporte
Manutenção de freios,Transporte
Compra de passagem marítima,Transporte
Reparação de pneu furado,Transporte
Locação de van para transporte de grupo,Transporte
Translado do aeroporto,Transporte
Consulta médica de rotina,Saúde
Exames laboratoriais,Saúde
Compra de remédios na farmácia,Saúde
Plano de saúde mensal,Saúde
Consulta odontológica,Saúde
Tratamento fisioterapêutico,Saúde
Vacina contra gripe,Saúde
Exame oftalmológico,Saúde
Cirurgia pequena ambulatorial,Saúde
Atendimento hospitalar de emergência,Saúde
Compra de lentes de contato,Saúde
Sessão com psicólogo,Saúde
Sessão de terapia ocupacional,Saúde
Check-up anual,Saúde
Tratamento dermatológico,Saúde
Compra de vitaminas,Saúde
Academia mensal,Saúde
Exame de imagem (raio-x),Saúde
Tratamento dentário estético,Saúde
Remédio para tratamento contínuo,Saúde
Massagem terapêutica,Saúde
Consulta com nutricionista,Saúde
Aparelho ortodôntico,Saúde
Exame cardiológico,Saúde
Vacinação infantil,Saúde
Compra de óculos de grau,Saúde
Tratamento ortopédico,Saúde
Internação hospitalar breve,Saúde
Sessão de acupuntura,Saúde
Tratamento homeopático,Saúde
Consulta geriátrica,Saúde
Consulta pediátrica,Saúde
Compra de termômetro digital,Saúde
Aparelho auditivo,Saúde
Tratamento de alergia,Saúde
Consulta ginecológica,Saúde
Exame neurológico,Saúde
Exame de sangue específico,Saúde
Medicamento manipulado,Saúde
Terapia psicológica em grupo,Saúde
Tratamento de varizes,Saúde
Tratamento capilar especializado,Saúde
Cirurgia odontológica,Saúde
Consulta reumatológica,Saúde
Compra de equipamento ortopédico,Saúde
Sessão de hidroterapia,Saúde
Check-up cardiológico,Saúde
Tratamento para insônia,Saúde
Sessão de quiropraxia,Saúde
Fui ao cinema com amigos,Lazer
Parque aquático no fim de semana,Lazer
Passeio no zoológico,Lazer
Joguei boliche com amigos,Lazer
Assisti peça de teatro,Lazer
Ida ao parque de diversões,Lazer
Show de música ao vivo,Lazer
Festival gastronômico,Lazer
Viagem para a praia,Lazer
Participação em corrida de rua,Lazer
Compra de ingressos para show,Lazer
Tour por museu de arte,Lazer
Visita ao jardim botânico,Lazer
Jogos em arcade,Lazer
Passeio de barco,Lazer
Paintball com colegas,Lazer
Escape room com amigos,Lazer
Parque temático de aventura,Lazer
Acampamento no final de semana,Lazer
Passeio em roda gigante,Lazer
Festival de cinema,Lazer
Exposição fotográfica,Lazer
Viagem turística pela cidade,Lazer
Assistir jogo no estádio,Lazer
Participação em oficina de artesanato,Lazer
Feira de livros,Lazer
Tour vinícola,Lazer
Jogos de tabuleiro com amigos,Lazer
Passeio em cachoeira,Lazer
Visita a exposição de carros antigos,Lazer
Participação em trilha ecológica,Lazer
Festival de cerveja artesanal,Lazer
Dia no spa para relaxar,Lazer
Visita ao aquário da cidade,Lazer
Passeio a cavalo,Lazer
Viagem para região serrana,Lazer
Concerto de música clássica,Lazer
Ida ao planetário,Lazer
Festival cultural local,Lazer
Passeio em jardim japonês,Lazer
Assistir espetáculo de dança,Lazer
Tour guiado em ponto turístico,Lazer
Ida à praia com amigos,Lazer
Passeio de bicicleta no parque,Lazer
Visita a parque nacional,Lazer
Festival de jazz,Lazer
Visita a reserva ecológica,Lazer
Passeio em parque urbano,Lazer
Atividade de escalada indoor,Lazer
Compras semanais no supermercado,Supermercado
Compras mensais no mercado,Supermercado
Feira de hortifruti,Supermercado
Produtos de limpeza do mercado,Supermercado
Compra mensal de carnes,Supermercado
Produtos congelados,Supermercado
Abastecimento de itens básicos,Supermercado
Doces e sobremesas do mercado,Supermercado
Compra de bebidas para festa,Supermercado
Frutas frescas semanais,Supermercado
Verduras e legumes frescos,Supermercado
Produtos lácteos semanais,Supermercado
Produtos de higiene pessoal,Supermercado
Compra de itens de padaria,Supermercado
Compra semanal de cereais,Supermercado
Abastecimento de alimentos não perecíveis,Supermercado
Sorvetes e picolés,Supermercado
Petiscos e snacks,Supermercado
Material descartável,Supermercado
Produtos orgânicos semanais,Supermercado
Compra de ovos,Supermercado
Compra de alimentos diet,Supermercado
Itens para churrasco,Supermercado
Compra de temperos,Supermercado
Itens para café da manhã,Supermercado
Produtos de limpeza pesada,Supermercado
Compra de carnes para churrasco,Supermercado
Reposição de papel higiênico,Supermercado
Água mineral e refrigerantes,Supermercado
Compra de alimentos veganos,Supermercado
Itens para lanche escolar,Supermercado
Compra de produtos importados,Supermercado
Produtos de panificação,Supermercado
Reposição de congelados,Supermercado
Compra de peixes e frutos do mar,Supermercado
Reposição de grãos,Supermercado
Produtos de confeitaria,Supermercado
Material para limpeza doméstica,Supermercado
Itens para preparo de sobremesas,Supermercado
Compra de vinhos,Supermercado
Abastecimento de itens para pets,Supermercado
Compra de café,Supermercado
Produtos de jardinagem,Supermercado
Produtos naturais,Supermercado
Itens para dieta especial,Supermercado
Alimentos congelados prontos,Supermercado
Produtos de higiene infantil,Supermercado
Compra de suplementos alimentares,Supermercado
Compra de massas e molhos,Supermercado
Pagamento da mensalidade escolar,Educação
Compra de livros acadêmicos,Educação
Inscrição em curso online,Educação
Material escolar comprado,Educação
Matrícula em curso presencial,Educação
Compra de mochila nova,Educação
Mensalidade da faculdade,Educação
Aula particular de matemática,Educação
Curso preparatório para concurso,Educação
Compra de cadernos e canetas,Educação
Workshop profissionalizante,Educação
Aula de idiomas mensal,Educação
Seminário acadêmico pago,Educação
Licença para software educacional,Educação
Inscrição em vestibular,Educação
Curso de programação,Educação
Material didático para curso,Educação
Mensalidade de curso técnico,Educação
Compra de uniforme escolar,Educação
Taxa para prova de certificação,Educação
Aula online de reforço,Educação
Curso de idiomas intensivo,Educação
Material para curso de artes,Educação
Inscrição em simpósio acadêmico,Educação
Curso de especialização online,Educação
Mensalidade de escola infantil,Educação
Material para laboratório,Educação
Curso rápido de finanças pessoais,Educação
Assinatura de plataforma de ensino,Educação
Compra de apostila para concurso,Educação
Mensalidade do curso de inglês,Educação
Curso de marketing digital,Educação
Taxa de matrícula na pós-graduação,Educação
Mensalidade curso de dança,Educação
Material para curso de música,Educação
Curso de fotografia,Educação
Aula particular de inglês,Educação
Curso preparatório para ENEM,Educação
Compra de notebook para estudos,Educação
Taxa de inscrição em workshop,Educação
Curso de desenvolvimento pessoal,Educação
Compra de livros técnicos,Educação
Curso de culinária,Educação
Mensalidade curso profissionalizante,Educação
Curso de gestão financeira,Educação
Compra de tablet para aulas,Educação
Curso de informática básica,Educação
Aula de reforço escolar semanal,Educação
Material para curso de desenho,Educação
Pagamento do aluguel mensal,Moradia
Conta de energia elétrica,Moradia
Conta de água,Moradia
Conta de gás encanado,Moradia
Taxa de condomínio,Moradia
Reparos hidráulicos no banheiro,Moradia
Compra de móveis novos,Moradia
Reforma da cozinha,Moradia
Instalação de ar-condicionado,Moradia
Compra de geladeira nova,Moradia
Manutenção do elevador do prédio,Moradia
Decoração para o apartamento,Moradia
Dedetização do imóvel,Moradia
Compra de utensílios domésticos,Moradia
Limpeza e higienização de sofá,Moradia
Compra de colchão novo,Moradia
Conserto da máquina de lavar,Moradia
Pintura interna do imóvel,Moradia
Seguro residencial anual,Moradia
Reparos elétricos,Moradia
Instalação de sistema de segurança,Moradia
Compra de cortinas e persianas,Moradia
Pagamento do IPTU,Moradia
Manutenção do jardim,Moradia
Compra de materiais para reforma,Moradia
Instalação de internet residencial,Moradia
Conserto do chuveiro,Moradia
Compra de máquina de lavar roupas,Moradia
Taxa de coleta de lixo,Moradia
Instalação de gás natural,Moradia
Limpeza profissional do apartamento,Moradia
Compra de tapetes e carpetes,Moradia
Reparação do telhado,Moradia
Compra de ventiladores,Moradia
Conserto de portas e janelas,Moradia
Compra de armários planejados,Moradia
Manutenção da piscina,Moradia
Serviço de jardinagem,Moradia
Compra de lâmpadas LED,Moradia
Pagamento do financiamento imobiliário,Moradia
Troca de torneiras e encanamentos,Moradia
Compra de eletrodomésticos,Moradia
Pagamento de diarista semanal,Moradia
Aquisição de quadros decorativos,Moradia
Compra de roupa de cama,Moradia
Instalação de antena de TV,Moradia
Troca de pisos e revestimentos,Moradia
Compra de churrasqueira para varanda,Moradia
Instalação de energia solar residencial,Moradia
Comprei uma camiseta nova na loja,Roupas
Adquiri um vestido para festa,Roupas
Compra de sapatos novos,Roupas
Renovei o guarda-roupa com calças jeans,Roupas
Comprei jaqueta para o inverno,Roupas
Meias novas para academia,Roupas
Vestido casual para o verão,Roupas
Comprei shorts para praia,Roupas
Sapatos sociais para trabalho,Roupas
Camisa social nova,Roupas
Roupa esportiva para corrida,Roupas
Boné novo para proteção solar,Roupas
Casaco pesado para viagem,Roupas
Cuecas novas,Roupas
Roupa íntima feminina,Roupas
Terno para evento formal,Roupas
Saia longa para passeio,Roupas
Biquíni novo,Roupas
Camisa polo,Roupas
Calça de moletom confortável,Roupas
Roupa para prática de yoga,Roupas
Casaco impermeável para chuva,Roupas
Sandálias para uso diário,Roupas
Chapéu para praia,Roupas
Pijama novo,Roupas
Roupa infantil para presente,Roupas
Gravata para casamento,Roupas
Cachecol para o frio,Roupas
Luva térmica,Roupas
Blusa de tricô,Roupas
Meia-calça nova,Roupas
Sapato esportivo para academia,Roupas
Roupa social para reunião,Roupas
Short esportivo,Roupas
Camisa de time,Roupas
Vestido elegante para jantar,Roupas
Mochila nova para escola,Roupas
Roupa de cama nova,Roupas
Toalha de banho nova,Roupas
Roupão confortável,Roupas
Vestido de festa infantil,Roupas
Sapato de salto para evento,Roupas
Chinelo para uso doméstico,Roupas
Calça cargo para trabalho,Roupas
Blazer casual,Roupas
Vestido de noiva,Roupas
Roupa de festa junina,Roupas
Gorro para inverno,Roupas
Sapato casual para passeio,Roupas
Compra de novo smartphone,Eletrônicos
Notebook para trabalho,Eletrônicos
Fones de ouvido sem fio,Eletrônicos
Mouse ergonômico,Eletrônicos
Teclado mecânico,Eletrônicos
Monitor ultrawide,Eletrônicos
Compra de tablet novo,Eletrônicos
Smartwatch esportivo,Eletrônicos
Câmera digital para viagem,Eletrônicos
Cartão de memória de alta capacidade,Eletrônicos
Roteador Wi-Fi de última geração,Eletrônicos
Power bank portátil,Eletrônicos
Assistente virtual doméstico,Eletrônicos
Smart TV de 50 polegadas,Eletrônicos
Alto-falante Bluetooth,Eletrônicos
Console de videogame novo,Eletrônicos
Controle adicional para videogame,Eletrônicos
Impressora multifuncional,Eletrônicos
Cabo HDMI novo,Eletrônicos
Projetor portátil,Eletrônicos
Drone para fotografia aérea,Eletrônicos
Aquisição de webcam HD,Eletrônicos
Compra de carregador rápido,Eletrônicos
Leitor de e-books,Eletrônicos
Caixa de som inteligente,Eletrônicos
Suporte articulado para TV,Eletrônicos
Lâmpadas inteligentes,Eletrônicos
Compra de câmera de segurança,Eletrônicos
Aspirador de pó robô,Eletrônicos
Placa de vídeo para computador,Eletrônicos
Adaptador USB,Eletrônicos
Hub USB com múltiplas portas,Eletrônicos
Monitor gamer,Eletrônicos
SSD para upgrade no computador,Eletrônicos
Microfone para podcast,Eletrônicos
Webcam para reuniões remotas,Eletrônicos
Filtro de linha com proteção,Eletrônicos
Aquisição de headset gamer,Eletrônicos
Pen drive com grande capacidade,Eletrônicos
Ventilador USB portátil,Eletrônicos
Mesa digitalizadora,Eletrônicos
Teclado Bluetooth portátil,Eletrônicos
Compra de nobreak,Eletrônicos
Fita LED para decoração,Eletrônicos
Receptor Bluetooth,Eletrônicos
Suporte ergonômico para notebook,Eletrônicos
Compra de ar condicionado portátil,Eletrônicos
Despertador digital,Eletrônicos
Sistema de som para casa,Eletrônicos
Pagamento da conta de energia elétrica,Contas e Serviços
Pagamento da conta de água,Contas e Serviços
Pagamento da fatura do cartão de crédito,Contas e Serviços
Conta mensal da internet,Contas e Serviços
Pagamento do plano de celular,Contas e Serviços
Mensalidade da Netflix,Contas e Serviços
Renovação da assinatura do Spotify,Contas e Serviços
Taxa mensal do condomínio,Contas e Serviços
Pagamento da conta de gás,Contas e Serviços
Renovação do seguro residencial,Contas e Serviços
Pagamento do IPTU,Contas e Serviços
Assinatura mensal do jornal,Contas e Serviços
Taxa anual do cartão de crédito,Contas e Serviços
Pagamento da mensalidade do clube,Contas e Serviços
Renovação da assinatura da Amazon Prime,Contas e Serviços
Pagamento da fatura da TV a cabo,Contas e Serviços
Pagamento do plano de saúde,Contas e Serviços
Recarga mensal do pré-pago do celular,Contas e Serviços
Pagamento da taxa de limpeza urbana,Contas e Serviços
Pagamento da mensalidade do estacionamento,Contas e Serviços
Assinatura mensal de revista digital,Contas e Serviços
Pagamento da mensalidade da academia,Contas e Serviços
Pagamento do serviço de segurança residencial,Contas e Serviços
Pagamento da conta de telefone fixo,Contas e Serviços
Pagamento da mensalidade escolar,Contas e Serviços
Taxa anual do seguro do carro,Contas e Serviços
Pagamento da mensalidade do curso online,Contas e Serviços
Renovação da assinatura do serviço de armazenamento em nuvem,Contas e Serviços
Pagamento de tarifas bancárias mensais,Contas e Serviços
Pagamento da mensalidade do aplicativo de streaming de música,Contas e Serviços
Renovação da assinatura de software,Contas e Serviços
Pagamento da taxa de manutenção de conta corrente,Contas e Serviços
Assinatura anual do antivírus,Contas e Serviços
Pagamento do plano odontológico,Contas e Serviços
Pagamento mensal do seguro de vida,Contas e Serviços
Pagamento de serviço de faxina mensal,Contas e Serviços
Pagamento mensal de empréstimo consignado,Contas e Serviços
Renovação da assinatura de serviço de notícias,Contas e Serviços
Pagamento da mensalidade do coworking,Contas e Serviços
Pagamento da mensalidade do serviço de entregas,Contas e Serviços
Pagamento da taxa de serviço de correio expresso,Contas e Serviços
Pagamento mensal de serviços de consultoria financeira,Contas e Serviços
Renovação da assinatura de serviços jurídicos,Contas e Serviços
Pagamento mensal do seguro pet,Contas e Serviços
Pagamento mensal de aplicativo de meditação,Contas e Serviços
Renovação de assinatura de streaming de esportes,Contas e Serviços
Pagamento da mensalidade do curso de idiomas,Contas e Serviços
Pagamento da taxa de manutenção de cartão pré-pago,Contas e Serviços
Pagamento da mensalidade do serviço de apoio psicológico online,Contas e Serviços
Comprei um presente para aniversário,Presentes
Adquiri uma lembrancinha para festa,Presentes
Presente de casamento comprado,Presentes
Mimo para amigo secreto,Presentes
Encomendei um mimo especial,Presentes
Presente para casamento dos amigos,Presentes
Comprei uma lembrancinha personalizada,Presentes
Gastei com presente de Natal,Presentes
Presente do amigo secreto da empresa,Presentes
Mimo para minha namorada,Presentes
Fiz uma doação para caridade,Doações
Participei de uma campanha solidária,Doações
Doei roupas antigas,Doações
Ajudei um projeto social,Doações
Contribuí com uma ONG,Doações
Paguei a fatura do cartão de crédito,Finanças
Investi dinheiro na bolsa,Finanças
Depositei na poupança,Finanças
Paguei juros de empréstimo,Finanças
Renovei seguro do carro,Finanças
Financiamento da casa,Finanças
Solicitei um empréstimo pessoal,Finanças
Transferência para poupança,Finanças
Apliquei dinheiro em investimentos,Finanças
Pagamento anual do consórcio,Finanças
Corte de cabelo no salão,Serviços
Manicure semanal,Serviços
Chamei um eletricista para reparos,Serviços
Contratei fotógrafo profissional,Serviços
Serviço de encanamento na casa,Serviços
Paguei manicure semanal,Serviços
Freelancer para meu projeto,Serviços
Faxina mensal contratada,Serviços
Serviço de pintura residencial,Serviços
Contratação de consultoria técnica,Serviços
Assinei revista semanal,Assinaturas
Renovação de jornal mensal,Assinaturas
Pagamento da mensalidade do clube,Assinaturas
Assinatura de streaming anual,Assinaturas
Patreon do criador favorito,Assinaturas
Renovação anual da revista,Assinaturas
Plano anual de academia,Assinaturas
Pagamento mensal do aplicativo,Assinaturas
Assinatura de plataforma de cursos,Assinaturas
Mensalidade do streaming,Assinaturas
Comprei ração para cachorro,Pets
Visita ao veterinário,Pets
Vacina anual do gato,Pets
Casinha nova para pet,Pets
Areia higiênica para gatos,Pets
Petisco para cães,Pets
Banho e tosa para cachorro,Pets
Coleira nova para gato,Pets
Compra de brinquedo para pet,Pets
Areia sanitária para gato,Pets
Almocei em um restaurante perto do trabalho,Alimentação
Jantar em família no restaurante,Alimentação
Lanche rápido na cafeteria,Alimentação
Pizza delivery à noite,Alimentação
Café da manhã na padaria,Alimentação
Sanduíche no intervalo da faculdade,Alimentação
Almoço executivo na praça de alimentação,Alimentação
Pastel e caldo de cana na feira,Alimentação
Hambúrguer artesanal na lanchonete,Alimentação
Sorvete de sobremesa após almoço,Alimentação
Pizza no final de semana,Alimentação
Sushi com amigos à noite,Alimentação
Churrasco de domingo em casa,Alimentação
Jantar italiano com vinho,Alimentação
Feijoada tradicional no sábado,Alimentação
Refeição rápida no food truck,Alimentação
Crepe doce após cinema,Alimentação
Brunch especial de domingo,Alimentação
Rodízio de comida japonesa,Alimentação
Almoço saudável com salada,Alimentação
Comida mexicana no restaurante,Alimentação
Doces artesanais da confeitaria,Alimentação
Açaí no fim da tarde,Alimentação
Massas italianas no almoço,Alimentação
Frango assado de domingo,Alimentação
Lasanha caseira,Alimentação
Jantar vegetariano no centro,Alimentação
Bolo e café à tarde,Alimentação
Hambúrguer com amigos após jogo,Alimentação
Comida chinesa para jantar,Alimentação
Batata frita e refrigerante,Alimentação
Salgado na lanchonete,Alimentação
Pipoca no cinema,Alimentação
Empanada argentina na rua,Alimentação
Risoto em restaurante gourmet,Alimentação
Jantar árabe com esfihas,Alimentação
Comida caseira da vovó,Alimentação
Chá da tarde com biscoitos,Alimentação
Sanduíche natural após academia,Alimentação
Bolo de aniversário,Alimentação
Comida indiana à noite,Alimentação
Tapioca no café da manhã,Alimentação
Almoço vegano,Alimentação
Milkshake depois do trabalho,Alimentação
Frutos do mar no litoral,Alimentação
Coxinha e pastel de lanche,Alimentação
Macarronada em casa,Alimentação
Mousse de chocolate,Alimentação
Panqueca americana de manhã,Alimentação
Abasteci o carro no posto,Transporte
Uber para o trabalho,Transporte
Comprei passagem de ônibus,Transporte
Troca de óleo do carro,Transporte
Bilhete mensal do metrô,Transporte
Passagem aérea para São Paulo,Transporte
Manutenção preventiva do carro,Transporte
Compra de pneu novo,Transporte
Lavagem completa do carro,Transporte
Corrida de táxi,Transporte
Seguro automotivo mensal,Transporte
Aluguel de carro para viagem,Transporte
Estacionamento mensal,Transporte
Pedágio para viagem,Transporte
Revisão periódica do carro,Transporte
Bicicleta nova para deslocamento,Transporte
Corrida de aplicativo após festa,Transporte
Reparos no motor do carro,Transporte
Passe mensal para trem,Transporte
Viagem de ônibus para o interior,Transporte
Combustível para viagem longa,Transporte
Compra de peças automotivas,Transporte
Reboque emergencial,Transporte
Assinatura mensal de estacionamento,Transporte
Viagem de trem para outra cidade,Transporte
Combustível semanal,Transporte
Transporte escolar mensal,Transporte
Pagamento de multa de trânsito,Transporte
Aluguel de patinete elétrico,Transporte
Compra de capacete para moto,Transporte
Manutenção da moto,Transporte
Recarga de cartão de transporte público,Transporte
Viagem compartilhada de carro,Transporte
Seguro para viagem internacional,Transporte
Combustível para moto,Transporte
Compra de óleo lubrificante,Transporte
Manutenção de bicicleta,Transporte
Compra de acessórios para carro,Transporte
Passe de ônibus semanal,Transporte
Lavagem de moto,Transporte
Compra de GPS para veículo,Transporte
Pagamento de estacionamento diário,Transporte
Viagem curta de avião,Transporte
Instalação de som automotivo,Transporte
Manutenção de freios,Transporte
Compra de passagem marítima,Transporte
Reparação de pneu furado,Transporte
Locação de van para transporte de grupo,Transporte
Translado do aeroporto,Transporte
Consulta médica de rotina,Saúde
Exames laboratoriais,Saúde
Compra de remédios na farmácia,Saúde
Plano de saúde mensal,Saúde
Consulta odontológica,Saúde
Tratamento fisioterapêutico,Saúde
Vacina contra gripe,Saúde
Exame oftalmológico,Saúde
Cirurgia pequena ambulatorial,Saúde
Atendimento hospitalar de emergência,Saúde
Compra de lentes de contato,Saúde
Sessão com psicólogo,Saúde
Sessão de terapia ocupacional,Saúde
Check-up anual,Saúde
Tratamento dermatológico,Saúde
Compra de vitaminas,Saúde
Academia mensal,Saúde
Exame de imagem (raio-x),Saúde
Tratamento dentário estético,Saúde
Remédio para tratamento contínuo,Saúde
Massagem terapêutica,Saúde
Consulta com nutricionista,Saúde
Aparelho ortodôntico,Saúde
Exame cardiológico,Saúde
Vacinação infantil,Saúde
Compra de óculos de grau,Saúde
Tratamento ortopédico,Saúde
Internação hospitalar breve,Saúde
Sessão de acupuntura,Saúde
Tratamento homeopático,Saúde
Consulta geriátrica,Saúde
Consulta pediátrica,Saúde
Compra de termômetro digital,Saúde
Aparelho auditivo,Saúde
Tratamento de alergia,Saúde
Consulta ginecológica,Saúde
Exame neurológico,Saúde
Exame de sangue específico,Saúde
Medicamento manipulado,Saúde
Terapia psicológica em grupo,Saúde
Tratamento de varizes,Saúde
Tratamento capilar especializado,Saúde
Cirurgia odontológica,Saúde
Consulta reumatológica,Saúde
Compra de equipamento ortopédico,Saúde
Sessão de hidroterapia,Saúde
Check-up cardiológico,Saúde
Tratamento para insônia,Saúde
Sessão de quiropraxia,Saúde
Fui ao cinema com amigos,Lazer
Parque aquático no fim de semana,Lazer
Passeio no zoológico,Lazer
Joguei boliche com amigos,Lazer
Assisti peça de teatro,Lazer
Ida ao parque de diversões,Lazer
Show de música ao vivo,Lazer
Festival gastronômico,Lazer
Viagem para a praia,Lazer
Participação em corrida de rua,Lazer
Compra de ingressos para show,Lazer
Tour por museu de arte,Lazer
Visita ao jardim botânico,Lazer
Jogos em arcade,Lazer
Passeio de barco,Lazer
Paintball com colegas,Lazer
Escape room com amigos,Lazer
Parque temático de aventura,Lazer
Acampamento no final de semana,Lazer
Passeio em roda gigante,Lazer
Festival de cinema,Lazer
Exposição fotográfica,Lazer
Viagem turística pela cidade,Lazer
Assistir jogo no estádio,Lazer
Participação em oficina de artesanato,Lazer
Feira de livros,Lazer
Tour vinícola,Lazer
Jogos de tabuleiro com amigos,Lazer
Passeio em cachoeira,Lazer
Visita a exposição de carros antigos,Lazer
Participação em trilha ecológica,Lazer
Festival de cerveja artesanal,Lazer
Dia no spa para relaxar,Lazer
Visita ao aquário da cidade,Lazer
Passeio a cavalo,Lazer
Viagem para região serrana,Lazer
Concerto de música clássica,Lazer
Ida ao planetário,Lazer
Festival cultural local,Lazer
Passeio em jardim japonês,Lazer
Assistir espetáculo de dança,Lazer
Tour guiado em ponto turístico,Lazer
Ida à praia com amigos,Lazer
Passeio de bicicleta no parque,Lazer
Visita a parque nacional,Lazer
Festival de jazz,Lazer
Visita a reserva ecológica,Lazer
Passeio em parque urbano,Lazer
Atividade de escalada indoor,Lazer
Compras semanais no supermercado,Supermercado
Compras mensais no mercado,Supermercado
Feira de hortifruti,Supermercado
Produtos de limpeza do mercado,Supermercado
Compra mensal de carnes,Supermercado
Produtos congelados,Supermercado
Abastecimento de itens básicos,Supermercado
Doces e sobremesas do mercado,Supermercado
Compra de bebidas para festa,Supermercado
Frutas frescas semanais,Supermercado
Verduras e legumes frescos,Supermercado
Produtos lácteos semanais,Supermercado
Produtos de higiene pessoal,Supermercado
Compra de itens de padaria,Supermercado
Compra semanal de cereais,Supermercado
Abastecimento de alimentos não perecíveis,Supermercado
Sorvetes e picolés,Supermercado
Petiscos e snacks,Supermercado
Material descartável,Supermercado
Produtos orgânicos semanais,Supermercado
Compra de ovos,Supermercado
Compra de alimentos diet,Supermercado
Itens para churrasco,Supermercado
Compra de temperos,Supermercado
Itens para café da manhã,Supermercado
Produtos de limpeza pesada,Supermercado
Compra de carnes para churrasco,Supermercado
Reposição de papel higiênico,Supermercado
Água mineral e refrigerantes,Supermercado
Compra de alimentos veganos,Supermercado
Itens para lanche escolar,Supermercado
Compra de produtos importados,Supermercado
Produtos de panificação,Supermercado
Reposição de congelados,Supermercado
Compra de peixes e frutos do mar,Supermercado
Reposição de grãos,Supermercado
Produtos de confeitaria,Supermercado
Material para limpeza doméstica,Supermercado
Itens para preparo de sobremesas,Supermercado
Compra de vinhos,Supermercado
Abastecimento de itens para pets,Supermercado
Compra de café,Supermercado
Produtos de jardinagem,Supermercado
Produtos naturais,Supermercado
Itens para dieta especial,Supermercado
Alimentos congelados prontos,Supermercado
Produtos de higiene infantil,Supermercado
Compra de suplementos alimentares,Supermercado
Compra de massas e molhos,Supermercado
Pagamento da mensalidade escolar,Educação
Compra de livros acadêmicos,Educação
Inscrição em curso online,Educação
Material escolar comprado,Educação
Matrícula em curso presencial,Educação
Compra de mochila nova,Educação
Mensalidade da faculdade,Educação
Aula particular de matemática,Educação
Curso preparatório para concurso,Educação
Compra de cadernos e canetas,Educação
Workshop profissionalizante,Educação
Aula de idiomas mensal,Educação
Seminário acadêmico pago,Educação
Licença para software educacional,Educação
Inscrição em vestibular,Educação
Curso de programação,Educação
Material didático para curso,Educação
